réussir un examen;to pass an exam
conseil;advice, tip
s'accommoder;To cope with, to deal with
problématique;tricky
semestre;term
passer un examen;to take an exam
prendre des nouvelles;To check up
se plaindre;To complain
s'habituer à;to cope with
Habitue-toi;Get used to it
traîner;To hang around
gâcher;To waste
chambre d'amis;guest room
harceler;pestering
créé;coined
compétence;scale, skills
largement;widely
domaines;fields
profondément;deeply
tempérament;temper
à peine;hardly
proche;near
lancer;throw
presque;nearly, almost
contrarié;upset
foule;crowd
budgétiser;to budget
peu cher;cheap, cost-effective
sain;healthy
recettes;recipes
colocataires;flatmates
légèrement;slightly
dette;debt
facture;bills
équilibrer;balance
rester dans le coin;hung around
défaire ses bagages;unpack
coupable;guilty
se faire à l'idée;to put up with the fact
emmener en voiture;give a lift
ne pas arrêter de parler de;go on about
avantage;upside
éviter;avoid
regarder de haut;to look down on
au moins;at least
correctement;properly
inviter qqn;take sb out
collège;middle school
lycée;high school
université;college
se demander;to wonder
bac;A-level
exigences;requirements
cours à distance;distance learning courses
sujets principaux;core subjects
étendue;range
obligatoire;compulsory
droit;law
interchangeable;interchangeably
formation;course
première année;freshman year
deuxième année;sophomore
troisième année;junior year
quatrième année;senior year
étudiant;undergraduate
humanité;liberal arts
culture complète, beaucoup de culture;Well-rounded
spécialité;major
tronc commun, cours principal;core courses
cours facultatif;elective courses
licence;bachelor's degree
premier cycle universitaire;undergraduate studies;
frais de scolarité;tuition fees
cours magistral, CM;lecture
TD, travaux dirigés;seminar
thèse;PhD
suivre un cours, suivre une formation;To attend a class
financer;fund
étudier, suivre une formation dans une université;To attend a university
dépassé;overwhelmed
redoutable;daunting
conseillers;conselors
chemin;path
guider;mentoring
mettre en avant;emphasize
atteindre tes buts;achieve your goals
trouver;figure out
toutes sortes;all kinds
une idée plus ferme;a firmer sense
informatique;computer science
chef d'orchestre;conducting
végétalien;vegan
sans encombre;Hassle-free
périurbain;suburban
impliqué;involved
stage;intership
chaînes;schakles
soupir de soulagement;sigh of relief
redouté, redoutable;dreaded
candidaté;applied
n'avoir aucune idée, ne pas avoir d'idée;to have no clue
se sentir dans son élément, se sentir à sa place;to feel to belong
avoir une impression;to get a feel
errer;wander
se spécialiser dans son domaine;to major in a field
se faire passer pour un étudiant;shadowing
résidence étudiante;campus dorm
sûrement pas;definitely not
ne pas se sentir à sa place;to feel out of place
prendre un chemin inconnnu;take a walk on the wild side
bourse étudiante;schoolship
l'impensable;the unspeakable
logement;housing
nourriture pré préparé, nourriture préparé pour vous;catering
apparance;outlook
garde robe;wardrobe
Lave-vaisselle;dishwasher
lavabo;washbassin
évier;sink
cabinet, toilette, cabinet de toilette;loo
bureau;desk
cuisinière;cooker
télécommande;Remote-control
poubelle;bin, trash
Lave-linge;Washing-machine
Coat hanger;porte manteau
coiffeuse;dressing table
Sèche-linge;tumble dryer
aspirateur;vaccum cleaner
commode;chest of drawers
réseau;network
maison Renaissance;period town house
nourriture faite soi-même, nourriture préparée par ses propres moyens, fait-maison;Self-catering
à condition que;provided
date butoire;deadline
taux;rate
handicap;disabilities
billard;pool tables
gardiens;wardens
engager;commit
assurer;ensure
logement;accomodation
meublé;furnished
garage à vélo;bike shed
ennuyeux, ennuyant;boring
déçu, désappointé;disappointed
embarrassé;embarrassed
fatigué;exhausted
divertissant;entertaining
attractif, attrayant;Eye-catching
garanti;guaranteed
rénové, remis à neuf;refurbished
sac à main;wallet
comfortable;comfy
étaler;spreadout
ne rien faire;to chill out
commodités;amenities nearby
pouvoir se permettre;to can afford
présenter, figurer;feature
locataire;tenant
tableau d'affichage;bulletin boards
ce n'est pas facile, c'est pas facile;it's not all square to
tituber;To stagger
étagère;shelf
ressentiment;resentment
Un invité;a guest
propriétaire;landlord
être peu susceptible;to be very unlikely to
dépense;expense
si ça ne vous brise pas ça vous rendra plus fort, si ça ne te brise pas ça te rendra plus fort;if it doesn't break you, it will make you stronger
convenable;suitable
caution;deposit
plusieurs;several
chauffage;heating
débordement;overflow
contrat de location;tenancy agreement
deux points, :;colon
/;slash
point;dot
tire du huit, tire du bas;underscore
tire, tiret du six;dash, hyphen
majuscule;uppercase, capital
minuscule;lowercase
pièce jointe;attachment
destinataire;recipient
boîte de réception;inbox
salutation;greeting
autrement;otherwise
authentiquement;genuinely
de toute évidence;presumably
s'attendre à qqch;to expect stg
à tout prix;at all costs
orthographe;spelling
considérer;consider, assume
glandeurs, traine-savattes;slackers
rendez vous;appointment
zone sans taxe, zone franche;Duty-free zone
hall de départ, salle de départ;departure lounge
porte d'embarquement;gate
piste d'envol, piste d'atterrissage;runway
tour de contrôle;control tour
l'équipage;cabin crew
pilote;pilot
bagagiste;baggage handler
douanier;customs officer
cockpit;cockpit
cuisinette;galley
chariot;trolley
ceinture de sécurité, ceinture;seatbelt
casier;locker
plateau;tray
masque à oxygène;oxygen mask
bagage à main;hand luggage
bagage en soute;checked luggage, checked baggage
enregistrer;to check in
embarquer;to board, to embark
décoller;to take off
stable, régulier;steady
voler à une allure régulière, aller à une vitesse de croisière;to cruise
atterrir;to land
attacher sa ceinture;fasten your seatbelt
détacher sa ceinture;unfasten your seatbelt
espace dédié, endroit désigné;designated area
arrêt;standstill
hotesse de l'air;flight attendant
carte d'embarquement;boarding pass
tamponner;to stamp
peser;to weight
tapis roulant;conveyer belt
annulé, supprimé;delayed
siège côté couloir;aisle seat
tarifs;fares
car ;coach
voyage;journey
durable;sustainable
étudiant étranger;overseas student
renouveler;renewing
nuire;harm
agile, compétent;skillful
prudent;careful
féroce;fierce
stupide;silly
se presser;to hurry
adaptateur;adaptor
reçu;receipt
armes;weapons
papeterie;stationery
interdit;forbidden
possessions;belongings
quantité permise;allowance
disponible;available
monnaie;change
retirer de l'argent;to withdraw money
personne que l'on ne connaît;stranger
étranger;foreigner
métro;tube, subway, underground
carrefour;crossroad
rond point;roundabout
jonction, croisement;junction
tu ne peux pas le louper;you can't miss it
traverse le pont;go over the bridge
traverser, traverser la rue;cross the street
innombrables;countless
chemins couverts de feuilles;leafy pathways
sûr ;safe
pratique;convenient
enchère;auction
mise en fourrière;impounded
pas réclamé, non réclamé;unclaimed
casque;helmet
équipement;gear
emprunter;check out
étirer;to stretch
se dégourdir les jambes;to stretch your legs
motivations;incentives
covoiturage;carpool
premier arrivé premier servi;first come first served
piéton;pedestrian
fournitures;supplies
à pied;by foot
navette;shuttle
centre ville;downtown
achat;purchases
antivols;locks
ennuis;hassles
occasion;Second-hand